family,result_id,source_path,benchmark_or_slice,model_or_setting,primary_metric,secondary_metric,appendix_role,keep_reason,next_action
PACT,E-044,reports/_archive/20260616-pruned/20260614-pact-final-answer-contract-gpu.md,HotpotQA50,Qwen2.5-14B,"EM 17/50 to 34/50; F1 0.508 to 0.792","20 wrong-to-right; 3 right-to-wrong; final-answer words 9.92 to 2.08",output_surface_warning,Shows final-answer contract can dominate apparent gains,Future PACT pilot must include evidence recall and irrelevant evidence admission
PACT,E-045,docs/evidence_register.md,HotpotQA offset50,Qwen2.5-14B,"EM 26/50 to 28/50; F1 0.6469 to 0.7427","6 wrong-to-right; 4 right-to-wrong; answer length 7.62 to 2.32",contract_gain_instability,Bounds the first PACT contract gain on a neighboring slice,Use as caveat against final-string-only claims
MATH Authority,E-110,reports/20260616-math-authority-genesis-ladder-qwen25-14b.md,selected MATH ladder 670 rows,Qwen2.5-14B,"visible future-signal violations 57/585; hidden metadata 0/65","baseline previous-solution 20/20; semantic unknown 0; token cap 0/670",operator_uptake_microscope,Separates hidden metadata from visible future-state pressure,Keep as operator/state-transition vocabulary
MATH Authority,E-111,reports/20260616-math-authority-genesis-mechanism-audit.md,MATH authority violation cards,local audit,"14 direct wrong-answer uptake vs 43 operator candidates","17 equation-surface; 10 numeric-role; 8 relation-skeleton; 8 final-answer-anchor",noncopy_mechanism_audit,Shows many violations are operator-level shifts,Use only as mechanism audit due case concentration
MATH Operator Lifecycle,E-operator-v1,reports/20260617-math-operator-lifecycle-v1-qwen25-14b.md,MATH operator lifecycle 166 rows,Qwen2.5-14B,"166/166 completed; typed partial errors 3/16","five semantic errors concentrated in two cases; admitted/verifier errors include visible final-answer artifact",operator_lifecycle_microscope,Shows answer removal alone can leave operator/numeric-role uptake pressure,Keep as mechanism appendix and case-concentration warning
TypeCast,E-116,reports/20260617-typecast-math200-inert-receiver315-qwen25-14b.md,MATH receiver315,Qwen2.5-14B,"baseline previous-solution 16/35; semantic correct 124/315; unknown 82/315","self 1/16; unrelated 2/16; inert 2/16; peer 2/16; shared 2/16; verifier 3/16; quarantine 3/16",control_gate_failure,Shows first packet was too unstable for lifecycle claim,Do not scale this packet
TypeCast,E-117,reports/20260617-typecast-repaired-controlstable-packet.md,MATH repaired receiver packet,local validation,"117/117 unique packet ids; gold-smoke 117/117; boundary gold-smoke 0/117 concern cards","13 selected control-stable cases",packet_repair_artifact,Creates narrower repaired diagnostic slice,Use only with control-gate caveat
TypeCast,E-118,reports/20260617-typecast-repaired-controlstable117-qwen25-14b.md,MATH repaired receiver117,Qwen2.5-14B,"self/unrelated/quarantine 0/11; inert/peer/shared/verifier 2/11; typed 1/11","117/117 completed; 91/117 semantic correct; 3/117 concern cards",small_diagnostic_failure,Quarantine clean but inert and target channels still confounded,Keep as microscope appendix
TypeCast,E-rawgold,reports/20260616-typecast-math200-clean-rawgold-diagnosis.md,MATH200 raw-gold audit,local audit,"trace gold vs raw boxed mismatch 98/200","raw-gold relabel known accuracy 0.917; original baseline only 8/38",gold_parser_risk,Prevents turning parser/gold failure into behavior claim,Apply raw boxed gold before any MATH comparison
MAD-MM,E-017,reports/_archive/20260616-pruned/20260613-madmm-benchmark-atlas.md,MATH50,Qwen2.5-7B,"CoT 0.46; naive MAD 0.60; MAD-MM objective 0.66","subjective MAD-MM 0.60 from E-017 with highest token cost",historical_baseline_map,Shows benchmark choice changes method ranking,Revive only as old debate baseline
MAD-MM,E-022,reports/_archive/20260616-pruned/20260613-madmm-benchmark-atlas.md,MATH50/MMLU-Pro50/AIME24/AIME25,Qwen2.5-7B,"MATH objective best 0.66; MMLU naive best 0.36; AIME no gain","AIME24 CoT 0.167 naive 0.167 objective 0.133; AIME25 CoT 0.100 naive 0.067 objective 0.100",benchmark_sensitivity_map,Warns that communication ranking is benchmark-dependent,Use for benchmark-first motivation only
DAR,E-010,reports/_archive/20260616-pruned/20260612-dar-arithmetics-short-matrix.md,arithmetics100,Qwen2.5-7B,"Basic MAD 0.98; Top-K 0.94; DAR filter_critical 0.99","generated arithmetic; one seed/model",historical_retention_baseline,Shows DAR can help on easy generated arithmetic,Do not use as main evidence due saturation
DAR,E-011,reports/_archive/20260616-pruned/20260612-dar-gsm8k-short-matrix.md,GSM8K100,Qwen2.5-7B,"Basic MAD 0.95; Top-K 0.94; DAR filter_critical 0.93","one seed/model; partial histories",historical_retention_baseline,Shows retention can hurt on GSM8K,Use only as motivation for control/trace audit
DAR,E-021,reports/_archive/20260616-pruned/20260613-dar-guarded-answer-diversity-run.md,GSM8K100,Qwen2.5-7B,"guarded answer-only 0.95 vs original DAR 0.93","right-to-wrong 3 to 1; tokens 77.1 percent of original",surface_retention_diagnostic,Shows answer surface and guard change outcomes,Keep as retention-surface appendix
DAR,E-023,reports/_archive/20260616-pruned/20260613-dar-retention-split-ablation.md,GSM8K100,Qwen2.5-7B,"answer-only no-guard 0.95; guard-full 0.96","original DAR 0.93; right-to-wrong 3; guard-full right-to-wrong 0",surface_retention_diagnostic,Separates answer-only surface from diversity guard,Use only if old retention baseline returns
MOC,E-053,reports/_archive/20260616-pruned/20260614-moc-role-sensitive-split-evidence-probe.md,6 synthetic split-evidence cases,CPU deterministic policies,"flat and answer-only compressed surfaces fail 5/6","hop2 unmerged and role-aware compressed preserve all cases",merge_compression_microscope,Shows role-slot loss can occur under compression,Revive only if main benchmark exposes merge/compression failure
MOC,E-054,reports/_archive/20260616-pruned/20260614-moc-merge-prompt-role-audit.md,6 synthetic role cases x 5 prompts,Qwen2.5-7B merge-only,"labeled role messages preserve 19/30; natural evidence preserve 4/30","technical precision preserves 6/6",merge_prompt_microscope,Shows merge prompt surface controls role preservation,Keep as appendix for compression-site failures
PeerRedaction,E-059,reports/_archive/20260616-pruned/20260614-peer-redacted-evidence-surface.md,DAR random14 and MATH random8,Qwen2.5 models,"leakage 16/44 to 8/44","wrong redacted evidence has 4 right-to-wrong vs wrong auto-evidence 1",redaction_warning,Answer removal reduces visible leakage but can leave harmful structure,Use as caveat for redaction-style safety claims
